kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;kategori_area;luas_areal;satuan
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2017;Tanaman rusak;531;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2017;Tanaman rusak;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2017;Tanaman rusak;2517;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2017;Tanaman rusak;4651.72;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2017;Tanaman rusak;948;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2017;Tanaman rusak;392;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2017;Tanaman rusak;9.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2017;Tanaman rusak;;Hektare
11;Aceh;11.72;Kota Sabang;2017;Tanaman rusak;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2017;Tanaman rusak;0;Hektare
11;Aceh;11.74;Kota Langsa;2017;Tanaman rusak;1.5;Hektare
11;Aceh;11.75;Kota Subulussalam;2017;Tanaman rusak;257;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2018;Tanaman belum menghasilkan;976;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2018;Tanaman belum menghasilkan;727;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2018;Tanaman belum menghasilkan;11260;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2018;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2018;Tanaman belum menghasilkan;4355.9;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2018;Tanaman belum menghasilkan;1069;Hektare
11;Aceh;11.07;Kabupaten Pidie;2018;Tanaman belum menghasilkan;38;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2018;Tanaman belum menghasilkan;3148;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2018;Tanaman belum menghasilkan;1608;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2018;Tanaman belum menghasilkan;5681.6;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2018;Tanaman belum menghasilkan;2085;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2018;Tanaman belum menghasilkan;1651;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2018;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2018;Tanaman belum menghasilkan;4885;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2018;Tanaman belum menghasilkan;10524.94;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2018;Tanaman belum menghasilkan;3680;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2018;Tanaman belum menghasilkan;728;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2018;Tanaman belum menghasilkan;419;Hektare
11;Aceh;11.71;Kota Banda Aceh;2018;Tanaman belum menghasilkan;;Hektare
11;Aceh;11.72;Kota Sabang;2018;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2018;Tanaman belum menghasilkan;100;Hektare
11;Aceh;11.74;Kota Langsa;2018;Tanaman belum menghasilkan;2;Hektare
11;Aceh;11.75;Kota Subulussalam;2018;Tanaman belum menghasilkan;7570;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2018;Tanaman menghasilkan;9446;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2018;Tanaman menghasilkan;1702;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2018;Tanaman menghasilkan;13376;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2018;Tanaman menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2018;Tanaman menghasilkan;4740.4;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2018;Tanaman menghasilkan;511;Hektare
11;Aceh;11.07;Kabupaten Pidie;2018;Tanaman menghasilkan;30;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2018;Tanaman menghasilkan;12430;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2018;Tanaman menghasilkan;1645;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2018;Tanaman menghasilkan;22766.6;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2018;Tanaman menghasilkan;1920;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2018;Tanaman menghasilkan;16740;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2018;Tanaman menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2018;Tanaman menghasilkan;7887;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2018;Tanaman menghasilkan;36414.8;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2018;Tanaman menghasilkan;16510;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2018;Tanaman menghasilkan;180;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2018;Tanaman menghasilkan;333.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2018;Tanaman menghasilkan;;Hektare
11;Aceh;11.72;Kota Sabang;2018;Tanaman menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2018;Tanaman menghasilkan;108;Hektare
11;Aceh;11.74;Kota Langsa;2018;Tanaman menghasilkan;406;Hektare
11;Aceh;11.75;Kota Subulussalam;2018;Tanaman menghasilkan;11145;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2018;Tanaman rusak;156;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2018;Tanaman rusak;229;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2018;Tanaman rusak;1541;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2018;Tanaman rusak;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2018;Tanaman rusak;397;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2018;Tanaman rusak;84;Hektare
11;Aceh;11.07;Kabupaten Pidie;2018;Tanaman rusak;32;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2018;Tanaman rusak;2607;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2018;Tanaman rusak;560;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2018;Tanaman rusak;3897.6;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2018;Tanaman rusak;139;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2018;Tanaman rusak;531;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2018;Tanaman rusak;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2018;Tanaman rusak;2552;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2018;Tanaman rusak;4626.23;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2018;Tanaman rusak;955;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2018;Tanaman rusak;392;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2018;Tanaman rusak;9.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2018;Tanaman rusak;;Hektare
11;Aceh;11.72;Kota Sabang;2018;Tanaman rusak;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2018;Tanaman rusak;0;Hektare
11;Aceh;11.74;Kota Langsa;2018;Tanaman rusak;4;Hektare
11;Aceh;11.75;Kota Subulussalam;2018;Tanaman rusak;257;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2019;Tanaman belum menghasilkan;1175;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2019;Tanaman belum menghasilkan;727;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2019;Tanaman belum menghasilkan;11290;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2019;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2019;Tanaman belum menghasilkan;4679.86;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2019;Tanaman belum menghasilkan;888;Hektare
11;Aceh;11.07;Kabupaten Pidie;2019;Tanaman belum menghasilkan;38;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2019;Tanaman belum menghasilkan;4509;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2019;Tanaman belum menghasilkan;1447;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2019;Tanaman belum menghasilkan;5698;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2019;Tanaman belum menghasilkan;2085;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2019;Tanaman belum menghasilkan;1940.71;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2019;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2019;Tanaman belum menghasilkan;5130;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2019;Tanaman belum menghasilkan;10780.12;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2019;Tanaman belum menghasilkan;2962;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2019;Tanaman belum menghasilkan;700;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2019;Tanaman belum menghasilkan;412;Hektare
11;Aceh;11.71;Kota Banda Aceh;2019;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.72;Kota Sabang;2019;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2019;Tanaman belum menghasilkan;97;Hektare
11;Aceh;11.74;Kota Langsa;2019;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.75;Kota Subulussalam;2019;Tanaman belum menghasilkan;6901;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2019;Tanaman menghasilkan;10006;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2019;Tanaman menghasilkan;1702;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2019;Tanaman menghasilkan;13476;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2019;Tanaman menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2019;Tanaman menghasilkan;4738.4;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2019;Tanaman menghasilkan;633;Hektare
11;Aceh;11.07;Kabupaten Pidie;2019;Tanaman menghasilkan;27;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2019;Tanaman menghasilkan;12430;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2019;Tanaman menghasilkan;1663;Hektare
